"date","geo","time","gprop","category","name","Travel","Holiday","Labor","Unemployment","Loan","Washing_machine","Fridge","BMW","Mercedes","Fashion","year","month"
"2021-06-13","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,8,0,0,0,0,37,5,0,0,2021,6
"2021-06-20","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",29,17,0,0,0,23,0,17,0,17,2021,6
"2021-06-27","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",25,15,18,0,0,0,0,8,0,66,2021,6
"2021-07-04","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,23,0,0,0,55,25,0,19,0,2021,7
"2021-07-11","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",25,15,15,0,20,0,36,0,23,0,2021,7
"2021-07-18","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,22,16,0,0,0,75,12,50,0,2021,7
"2021-07-25","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",25,28,0,0,0,30,45,15,0,0,2021,7
"2021-08-01","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,16,0,0,0,0,32,6,0,46,2021,8
"2021-08-08","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",17,15,0,0,23,26,67,0,0,61,2021,8
"2021-08-15","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,18,50,25,0,52,0,7,0,32,2021,8
"2021-08-22","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,27,16,0,0,0,62,14,20,0,2021,8
"2021-08-29","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",18,19,34,0,0,0,0,8,0,0,2021,8
"2021-09-05","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",29,8,17,0,0,22,0,5,46,53,2021,9
"2021-09-12","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",28,8,0,0,0,0,0,9,17,0,2021,9
"2021-09-19","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",25,23,0,0,0,0,48,0,16,0,2021,9
"2021-09-26","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,21,0,19,0,0,0,4,0,20,2021,9
"2021-10-03","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,21,0,0,0,27,0,12,0,0,2021,10
"2021-10-10","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,40,0,30,0,2021,10
"2021-10-17","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,8,0,0,0,0,0,11,25,0,2021,10
"2021-10-24","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,17,18,0,0,0,24,8,19,32,2021,10
"2021-10-31","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",22,12,19,0,0,28,0,6,26,21,2021,10
"2021-11-07","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",51,27,0,0,14,0,0,5,21,53,2021,11
"2021-11-14","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",16,20,18,26,0,20,0,4,0,22,2021,11
"2021-11-21","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",15,31,33,0,32,18,40,7,0,0,2021,11
"2021-11-28","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",32,24,0,0,28,0,20,12,12,0,2021,11
"2021-12-05","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,12,0,0,0,21,50,9,33,0,2021,12
"2021-12-12","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,28,0,0,0,0,0,9,14,16,2021,12
"2021-12-19","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,22,26,0,16,0,30,7,13,0,2021,12
"2021-12-26","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,18,0,18,0,18,29,11,27,18,2021,12
"2022-01-02","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,7,0,0,12,78,0,14,0,25,2022,1
"2022-01-09","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,0,7,0,0,2022,1
"2022-01-16","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,8,0,0,24,0,26,0,0,27,2022,1
"2022-01-23","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",30,10,11,0,0,23,0,6,20,0,2022,1
"2022-01-30","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",50,9,17,0,22,0,18,17,0,0,2022,1
"2022-02-06","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",17,10,13,0,0,0,0,6,40,15,2022,2
"2022-02-13","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,26,36,0,0,13,48,13,19,14,2022,2
"2022-02-20","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,17,0,0,0,0,46,6,24,15,2022,2
"2022-02-27","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",21,15,0,12,0,29,0,8,0,19,2022,2
"2022-03-06","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",20,12,24,13,0,36,19,11,0,0,2022,3
"2022-03-13","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",37,7,0,0,0,0,38,7,0,0,2022,3
"2022-03-20","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",30,12,0,0,0,0,16,8,0,12,2022,3
