Country Name,Country Code,Indicator Name,Indicator Code,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Moldova,MDA,"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,11062000,-4305000,1737000,1981000,3913000,-76000,-79000,-516000,-1796000,-2260000
Moldova,MDA,"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,48386645.7,38142334.2,57354491.1,42890310.5,20622762.8,21255238.9,57625319.8,70462558.3,123384146.4,86407911.7
Moldova,MDA,"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD,137042233.1,-21531218.9,-29278746.2,-40714526.7,-36896323.3,-44468542.2,-54461934.2,-35134824.3,186026009,31143856.7
Moldova,MDA,"Net official flows from UN agencies, IAEA (current US$)",DT.NFL.IAEA.CD,500000,1029999.971,230000.0042,67809.20923,5650.779698,565133.5716,281638.1454,1044998.169,841022.9087,1065781.832
Moldova,MDA,"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD,-22374096.8,-25471766.7,-4880077.2,22702737.5,57838175,82900542.9,-51842530.2,-56719383,-59938394.9,-55325773.5
Moldova,MDA,"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,561430000,568750000,564322000,570071000,634407000,696220000,712386000,715612000,791671000,813409000
Moldova,MDA,"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS,34.60480093,43.51173521,36.21506121,36.67238593,39.60044724,41.26460093,45.38714803,42.52988465,56.61130863,50.99373469
Moldova,MDA,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2263337000,2606029000,2649963000,3182863000,3101494000,3314605000,3475716000,3609728000,3489792000,3953058000
Moldova,MDA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5320130874,6204086253,5851136268,6094646558,6222242082,6968633843,7440416232,7523711270,8228223591,9287979962
Moldova,MDA,Net ODA provided to the least developed countries (% of GNI),DC.ODA.TLDC.GN.ZS,,,,,,,,,,
Moldova,MDA,"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,18260000.23,12399999.62,17139999.39,11609999.66,13140000.34,13539999.96,16010000.23,15960000.04,14560000.42,16700000.76
Moldova,MDA,"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,1929999.948,2250000,3180000.067,2460000.038,2140000.105,2099999.905,2430000.067,2769999.981,1860000.014,2420000.076
Moldova,MDA,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD,270000.0107,90000.00358,259999.9905,100000.0015,29999.99933,29999.99933,90000.00358,109999.9994,70000.0003,100000.0015
Moldova,MDA,"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD,,,,,,,,,,
Moldova,MDA,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,1870000.005,1679999.948,2410000.086,1970000.029,280000.0012,280000.0012,300000.0119,1080000.043,1649999.976,3119999.886
Moldova,MDA,"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,3970000.029,2990000.01,6440000.057,5530000.21,109999.9994,589999.9738,419999.9869,-19999.99955,29999.99933,9999.999776
Moldova,MDA,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,187110000.6,116769996.6,181080001.8,70290000.92,112569999.7,121379997.3,110230003.4,167229995.7,264649993.9,330130004.9
Moldova,MDA,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,519999.9809,,,,59999.99866,,,,,9999.999776
Moldova,MDA,"Listed domestic companies, total",CM.MKT.LDOM.NO,,,,,,,,,,
Moldova,MDA,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,22.80868469,23.07681526,21.8283551,19.88472429,18.17785505,16.93809456,16.04136255,15.95401352,15.82346237,15.49306023
