regname;regcode;year;month;count_0;count_4;min_0;min_4;max_0;max_4;mean_0;mean_4;sum_0;sum_4;nodata_0;nodata_4;median_0;median_4;std_0;std_4;percentile_90_0;percentile_90_4
 Cahul;MDA.6_1;2022;3;9765;9765;0;0;228.0;226.0;15.734.767.025.089.600;19.333.333.333.333.300;15365.0;18879.0;0;0;0;0;10.096.799.949.654.500;10.249.032.274.824.900;0;5.0
 Cahul;MDA.6_1;2022;4;9749;9749;0;0;242.0;221.0;1.806.544.260.949.840;26.680.685.198.481.800;17612.0;26011.0;16.0;16.0;0;0;10.725.900.535.588.000;10.275.454.720.488.700;0;6.0
 Cahul;MDA.6_1;2022;5;9755;9755;0;0;237.0;225.0;1.832.598.667.350.070;2.560.328.036.904.150;17877.0;24976.0;10.0;10.0;0;0;10.835.746.003.528.100;10.255.361.998.145;0;6.0
 Cahul;MDA.6_1;2022;6;9755;9755;0;0;310.0;269.0;19.347.001.537.672.900;2.790.773.962.070.730;18873.0;27224.0;10.0;10.0;0;0;11.531.097.632.433.200;10.755.728.544.857.300;5.0;6.0
 Cahul;MDA.6_1;2022;7;9753;9753;0;0;270.0;239.0;17.131.139.136.675.800;188.106.223.726.033;16708.0;18346.0;12.0;12.0;0;0;1.034.466.668.654.820;9.604.172.767.226.100;0;5.0
 Cahul;MDA.6_1;2022;8;9765;9765;0;0;224.0;231.0;18.852.022.529.441.800;23.195.084.485.407.000;18409.0;22650.0;0;0;0;0;9.755.475.895.953.690;9.632.675.731.335.720;5.0;6.0
 Cahul;MDA.6_1;2022;9;9764;9764;0;0;312.0;332.0;16.346.784.104.875.000;2.072.818.517.001.220;15961.0;20239.0;1.0;1.0;0;0;11.317.156.503.661.600;1.139.028.324.674.360;0;5.0
 Cahul;MDA.6_1;2022;10;9763;9763;0;0;347.0;289.0;16.310.560.278.602.800;18.657.175.048.653.000;15924.0;18215.0;2.0;2.0;0;0;11.879.042.577.017.200;10.755.211.908.019.500;0;5.0
 Cahul;MDA.6_1;2022;11;9760;9760;0;0;403.0;210.0;1.135.860.655.737.700;13.130.122.950.819.600;11086.0;12815.0;5.0;5.0;0;0;9.684.806.467.268.820;6.502.637.764.268.540;0;5.0
 Cahul;MDA.6_1;2022;12;9765;9765;0;0;374.0;275.0;1.152.073.732.718.890;46.646.185.355.862.700;11250.0;45550.0;0;0;0;5.0;1.005.759.741.672.520;70.632.184.853.392.400;0;6.0
 Calarasi;MDA.7_1;2022;1;5182;5182;0;0;136.0;110.0;13.988.807.410.266.300;2.664.415.283.674.250;7249.0;13807.0;0;0;0;0;7.494.504.786.125.020;647.876.646.686.175;5.0;6.0
 Calarasi;MDA.7_1;2022;2;5182;5182;0;0;91.0;120.0;0.7489386337321497;1.381.126.978.000.770;3881.0;7157.0;0;0;0;0;49.999.299.331.733.900;5.823.637.837.700.310;0;5.0
 Calarasi;MDA.7_1;2022;3;5182;5182;0;0;146.0;140.0;0.9461597838672328;12.410.266.306.445.300;4903.0;6431.0;0;0;0;0;6.801.110.918.229.230;7.046.900.796.331.080;0;5.0
